Date,Rain_73T,PM_73T
2020-11-12,0.0,16.0
2020-11-13,0.0,15.0
2020-11-14,0.0,17.0
2020-11-15,0.0,14.0
2020-11-16,0.0,19.0
2020-11-17,0.0,19.0
2020-11-18,0.0,24.0
2020-11-19,0.0,21.0
2020-11-20,0.0,15.0
2020-11-21,0.0,14.0
2020-11-22,0.0,19.0
2020-11-23,0.0,23.0
2020-11-24,0.0,25.0
2020-11-25,0.0,26.0
2020-11-26,0.0,21.0
2020-11-27,0.0,17.0
2020-11-28,0.0,15.0
2020-11-29,0.0,17.0
2020-11-30,0.0,17.0
2020-12-01,0.0,17.0
2020-12-02,0.0,30.0
2020-12-03,0.0,38.0
2020-12-04,0.0,32.0
2020-12-05,0.0,28.0
2020-12-06,0.0,38.0
2020-12-07,0.0,43.0
2020-12-08,0.0,36.0
2020-12-09,0.0,34.0
2020-12-10,0.0,35.0
2020-12-11,0.0,36.0
2020-12-12,0.0,38.0
2020-12-13,0.0,36.0
2020-12-14,0.0,30.5
2020-12-15,0.0,29.0
2020-12-16,0.0,30.0
2020-12-17,0.0,30.0
2020-12-18,0.0,25.0
2020-12-19,0.0,22.0
2020-12-20,0.0,17.0
2020-12-21,0.0,11.0
2020-12-22,0.0,18.0
2020-12-23,0.0,19.0
2020-12-24,0.0,20.0
2020-12-25,0.0,23.0
2020-12-26,0.0,28.0
2020-12-27,0.0,27.0
2020-12-28,0.0,13.0
2020-12-29,0.0,18.0
2020-12-30,0.0,20.0
2020-12-31,0.0,27.0
